
Linux 5.2.8org200301+ (knl03.kisti.re.kr) 	2020년 05월 29일 	_x86_64_	(272 CPU)

                CPU     %user     %nice   %system   %iowait    %steal     %idle
                all     99.38      0.00      0.62      0.00      0.00      0.00
                all     99.38      0.00      0.62      0.00      0.00      0.00
                all     99.62      0.00      0.38      0.00      0.00      0.00
                all     99.56      0.00      0.44      0.00      0.00      0.00
                all     98.76      0.00      0.80      0.00      0.00      0.45
                all     91.50      0.00      0.54      0.00      0.00      7.96
                all     66.45      0.00      0.15      0.00      0.00     33.40
                all      1.38      0.00      0.07      0.00      0.00     98.54
                all      0.43      0.00      0.13      0.00      0.00     99.45
                all      0.09      0.00      2.35      3.13      0.00     94.44
                all      0.16      0.00      2.06      6.45      0.00     91.33
                all      0.16      0.00      1.70      6.85      0.00     91.30
                all      0.11      0.00      1.05      4.04      0.00     94.80
                all      0.01      0.00      0.40      0.00      0.00     99.60
end------
                all      0.11      0.00      0.55      0.00      0.00     99.33
                all      0.17      0.00      0.53      0.00      0.00     99.30
                all      0.12      0.00      0.45      0.00      0.00     99.43
                all      0.13      0.00      0.49      0.00      0.00     99.38
start----
                all      0.14      0.00      0.59      0.01      0.00     99.26
                all     88.37      0.00      0.62      0.00      0.00     11.01
                all     99.62      0.00      0.38      0.00      0.00      0.00
                all     99.34      0.00      0.66      0.00      0.00      0.00
                all     99.38      0.00      0.62      0.00      0.00      0.00
                all     99.63      0.00      0.37      0.00      0.00      0.00
                all     97.75      0.00      0.47      0.00      0.00      1.77
                all     85.64      0.00      0.59      0.00      0.00     13.77
                all     33.60      0.00      0.13      0.00      0.00     66.28
                all      0.39      0.00      0.07      0.00      0.00     99.54
                all      0.33      0.00      0.22      0.00      0.00     99.45
                all      0.15      0.00      0.32      0.00      0.00     99.53
                all      0.08      0.00      0.32      0.00      0.00     99.60
                all      0.07      0.00      0.39      0.03      0.00     99.51
                all      0.18      0.00      0.37      0.00      0.00     99.45
                all      0.05      0.00      0.33      0.01      0.00     99.61
                all      0.11      0.00      0.35      0.00      0.00     99.53
                all      0.18      0.00      0.38      0.00      0.00     99.44
                all      0.02      0.00      0.38      0.00      0.00     99.60
                all      0.14      0.00      0.31      0.00      0.00     99.55
                all      0.14      0.00      0.41      0.01      0.00     99.44
                all      0.04      0.00      0.40      0.04      0.00     99.52
                all      0.15      0.00      0.56      0.01      0.00     99.28
                all      0.10      0.00      0.57      0.01      0.00     99.32
                all      0.03      0.00      0.52      0.01      0.00     99.43
                all      0.12      0.00      0.62      0.00      0.00     99.26
                all      0.13      0.00      0.42      0.00      0.00     99.45
                all      0.06      0.00      0.50      0.00      0.00     99.45
                all      0.12      0.00      0.32      0.00      0.00     99.55
                all      0.13      0.00      0.32      0.00      0.00     99.54
                all      0.07      0.00      0.45      0.00      0.00     99.48
                all      0.15      0.00      0.32      0.00      0.00     99.53
                all      0.10      0.00      0.33      0.00      0.00     99.57
                all      0.07      0.00      0.52      0.00      0.00     99.42
                all      0.14      0.00      0.30      0.00      0.00     99.55
                all      0.09      0.00      0.33      0.00      0.00     99.58
                all      0.07      0.00      0.38      0.00      0.00     99.55
                all      0.18      0.00      0.38      0.00      0.00     99.44
                all      0.05      0.00      0.35      0.00      0.00     99.60
                all      0.07      0.00      0.43      0.00      0.00     99.50
                all      0.18      0.00      0.38      0.00      0.00     99.44
                all      0.06      0.00      0.34      0.00      0.00     99.60
                all      0.10      0.00      0.37      0.00      0.00     99.53
                all      0.18      0.00      0.38      0.00      0.00     99.44
                all      0.02      0.00      0.42      0.04      0.00     99.52
                all      0.14      0.00      0.31      0.00      0.00     99.55
                all      0.12      0.00      0.37      0.01      0.00     99.50
                all      0.07      0.00      0.42      0.04      0.00     99.48
                all      0.14      0.00      0.31      0.00      0.00     99.55
                all      0.07      0.00      0.33      0.04      0.00     99.56
                all      0.13      0.00      0.47      0.00      0.00     99.40
                all      0.15      0.00      0.31      0.00      0.00     99.54
                all      0.03      0.00      0.40      0.04      0.00     99.53
                all      0.16      0.00      0.40      0.00      0.00     99.44
                all      0.13      0.00      0.32      0.00      0.00     99.55
                all      0.03      0.00      0.40      0.05      0.00     99.52
                all      0.20      0.00      0.43      0.00      0.00     99.37
                all      0.10      0.00      0.35      0.01      0.00     99.54
                all      0.06      0.00      0.38      0.04      0.00     99.53
                all      0.15      0.00      0.31      0.00      0.00     99.54
                all      0.10      0.00      0.40      0.04      0.00     99.46
                all      0.09      0.00      0.39      0.00      0.00     99.52
                all      0.14      0.00      0.31      0.00      0.00     99.54
                all      0.06      0.00      0.46      0.05      0.00     99.43
                all      0.09      0.00      0.39      0.00      0.00     99.52
                all      0.14      0.00      0.32      0.00      0.00     99.55
                all      0.06      0.00      0.47      0.04      0.00     99.43
                all      0.13      0.00      0.32      0.00      0.00     99.55
                all      0.13      0.00      0.33      0.00      0.00     99.54
                all      0.06      0.00      0.45      0.04      0.00     99.45
                all      0.15      0.00      0.34      0.00      0.00     99.51
                all      0.08      0.00      0.34      0.01      0.00     99.56
                all      0.07      0.00      0.38      0.03      0.00     99.52
                all      0.18      0.00      0.38      0.00      0.00     99.44
                all      0.05      0.00      0.35      0.04      0.00     99.55
                all      0.10      0.00      0.38      0.00      0.00     99.52
                all      0.18      0.00      0.38      0.00      0.00     99.44
                all      0.03      0.00      0.41      0.04      0.00     99.52
                all      0.14      0.00      0.32      0.00      0.00     99.54
                all      0.16      0.00      0.39      0.00      0.00     99.45
                all      0.04      0.00      0.40      0.05      0.00     99.51
                all      0.14      0.00      0.31      0.00      0.00     99.55
                all      0.11      0.00      0.37      0.01      0.00     99.51
                all      0.08      0.00      0.45      0.03      0.00     99.43
                all      0.15      0.00      0.31      0.00      0.00     99.54
                all      0.06      0.00      0.35      0.04      0.00     99.55
                all      0.11      0.00      0.49      0.00      0.00     99.40
                all      0.14      0.00      0.32      0.00      0.00     99.54
                all      0.05      0.00      0.36      0.00      0.00     99.58
                all      0.13      0.00      0.45      0.00      0.00     99.42
                all      0.15      0.00      0.32      0.00      0.00     99.53
                all      0.05      0.00      0.39      0.00      0.00     99.55
                all      0.15      0.00      0.43      0.00      0.00     99.43
                all      0.14      0.00      0.31      0.00      0.00     99.55
                all      0.02      0.00      0.42      0.00      0.00     99.57
                all      0.12      0.00      0.33      0.00      0.00     99.55
                all      0.17      0.00      0.39      0.00      0.00     99.44
                all      0.04      0.00      0.40      0.00      0.00     99.56
                all      0.14      0.00      0.31      0.00      0.00     99.55
                all      0.13      0.00      0.42      0.00      0.00     99.45
                all      0.03      0.00      0.33      0.00      0.00     99.65
                all      0.03      0.00     11.83      0.00      0.00     88.14
                all      0.16      0.00      7.61      1.83      0.00     90.40
                all      0.09      0.00      1.45      4.38      0.00     94.08
                all      0.14      0.00      1.65      4.58      0.00     93.63
                all      0.14      0.00      1.57      4.67      0.00     93.63
                all      0.10      0.00      1.11      5.05      0.00     93.73
                all      0.06      0.00      0.85      5.44      0.00     93.65
                all      0.07      0.00      0.84      5.61      0.00     93.49
                all      0.10      0.00      0.82      6.08      0.00     93.00
                all      0.06      0.00      0.76      6.49      0.00     92.69
                all      0.05      0.00      0.70      6.86      0.00     92.39
                all      0.10      0.00      0.89      6.98      0.00     92.03
                all      0.04      0.00      0.52      2.95      0.00     96.49
                all      0.02      0.00      0.34      0.38      0.00     99.26
                all      0.05      0.00      0.39      0.38      0.00     99.18
                all      0.07      0.00      0.40      0.07      0.00     99.46
end------
                all      0.05      0.00      0.56      0.00      0.00     99.39
                all      0.12      0.00      0.84      0.00      0.00     99.04
                all      0.16      0.00      0.89      0.00      0.00     98.95
                all      0.12      0.00      0.84      0.00      0.00     99.04
                all      0.12      0.00      0.60      0.01      0.00     99.27
                all      0.15      0.00      0.58      0.00      0.00     99.27
                all      0.12      0.00      0.45      0.00      0.00     99.43
                all      0.13      0.00      0.44      0.00      0.00     99.44
start----
                all      0.13      0.00      0.34      0.01      0.00     99.51
                all     99.14      0.00      0.64      0.00      0.00      0.22
                all     99.15      0.00      0.85      0.00      0.00      0.00
                all     98.96      0.00      1.04      0.00      0.00      0.00
                all     97.89      0.00      0.78      0.01      0.00      1.32
                all     97.00      0.00      0.27      0.00      0.00      2.74
                all     91.15      0.00      0.44      0.00      0.00      8.41
                all     52.88      0.00      0.10      0.00      0.00     47.01
                all      0.39      0.00      0.07      0.00      0.00     99.54
                all      0.37      0.00      0.34      0.00      0.00     99.29
                all      0.14      0.00      3.51      4.22      0.00     92.13
                all      0.11      0.00      1.51      5.27      0.00     93.11
                all      0.17      0.00      1.79      5.49      0.00     92.55
                all      0.11      0.00      1.53      6.41      0.00     91.95
                all      0.07      0.00      0.94      7.40      0.00     91.59
                all      0.06      0.00      0.93      7.87      0.00     91.14
                all      0.10      0.00      0.95      8.03      0.00     90.92
                all      0.06      0.00      0.84      8.01      0.00     91.10
                all      0.06      0.00      0.74      7.97      0.00     91.24
                all      0.08      0.00      0.70      7.55      0.00     91.67
                all      0.06      0.00      0.73      7.03      0.00     92.19
                all      0.05      0.00      0.59      3.11      0.00     96.25
                all      0.06      0.00      0.62      0.01      0.00     99.30
end------
                all      0.12      0.00      0.76      0.00      0.00     99.12
                all      0.13      0.00      0.81      0.00      0.00     99.05
                all      0.15      0.00      0.85      0.00      0.00     99.00
                all      0.14      0.00      0.58      0.01      0.00     99.26
                all      0.12      0.00      0.52      0.00      0.00     99.36
                all      0.13      0.00      0.67      0.00      0.00     99.20
                all      0.18      0.00      0.78      0.02      0.00     99.03
start----
                all      0.09      0.00      0.39      0.02      0.00     99.50
                all     73.18      0.00      0.64      0.00      0.00     26.17
                all     99.47      0.00      0.53      0.00      0.00      0.00
                all     99.39      0.00      0.61      0.00      0.00      0.00
                all     99.42      0.00      0.50      0.00      0.00      0.08
                all     99.49      0.00      0.43      0.00      0.00      0.08
                all     98.78      0.00      0.44      0.00      0.00      0.77
                all     96.96      0.00      0.48      0.00      0.00      2.56
                all     95.32      0.00      0.25      0.00      0.00      4.43
                all     79.91      0.00      0.20      0.00      0.00     19.89
                all     11.70      0.00      0.16      0.00      0.00     88.14
                all      0.38      0.00      0.07      0.00      0.00     99.54
                all      0.15      0.00      2.61      2.05      0.00     95.20
                all      0.15      0.00      1.68      4.49      0.00     93.68
                all      0.15      0.00      1.65      4.27      0.00     93.93
                all      0.14      0.00      1.66      4.34      0.00     93.86
                all      0.13      0.00      1.61      5.04      0.00     93.21
                all      0.13      0.00      1.11      5.85      0.00     92.92
                all      0.04      0.00      0.72      6.10      0.00     93.13
                all      0.06      0.00      0.79      6.57      0.00     92.58
                all      0.10      0.00      0.89      6.38      0.00     92.63
                all      0.06      0.00      0.84      5.65      0.00     93.45
