
Linux 5.2.8org200301+ (knl03.kisti.re.kr) 	2020년 05월 29일 	_x86_64_	(272 CPU)

                CPU     %user     %nice   %system   %iowait    %steal     %idle
                all      0.14      0.00      0.36      0.00      0.00     99.49
                all      0.13      0.00      0.37      0.00      0.00     99.50
                all      0.08      0.00      0.33      0.00      0.00     99.58
                all      0.13      0.00      0.40      0.00      0.00     99.47
                all      0.10      0.00      0.32      0.00      0.00     99.59
                all      0.13      0.00      0.33      0.00      0.00     99.54
                all      0.11      0.00      0.42      0.00      0.00     99.47
                all      0.08      0.00      0.35      0.00      0.00     99.57
                all      0.11      0.00      0.30      0.03      0.00     99.56
                all      0.13      0.00      0.37      0.00      0.00     99.53
                all      0.11      0.00      0.39      0.04      0.00     99.47
                all      0.07      0.00      0.38      0.00      0.00     99.55
                all      0.13      0.00      0.32      0.00      0.00     99.55
                all      0.13      0.00      0.40      0.03      0.00     99.44
                all      0.08      0.00      0.35      0.00      0.00     99.57
                all      0.10      0.00      0.32      0.00      0.00     99.58
                all      0.15      0.00      0.42      0.00      0.00     99.43
                all      0.11      0.00      0.40      0.00      0.00     99.48
                all      0.07      0.00      0.37      0.00      0.00     99.57
                all      0.15      0.00      0.38      0.00      0.00     99.47
                all      0.11      0.00      0.33      0.00      0.00     99.55
                all      0.08      0.00      0.36      0.00      0.00     99.55
                all      0.08      0.00      0.33      0.00      0.00     99.59
                all      0.16      0.00      0.39      0.00      0.00     99.44
                all      0.09      0.00      0.33      0.00      0.00     99.57
                all      0.08      0.00      0.35      0.00      0.00     99.57
                all      0.14      0.00      0.38      0.03      0.00     99.46
                all      0.12      0.00      0.35      0.00      0.00     99.53
                all      0.08      0.00      0.36      0.03      0.00     99.53
                all      0.10      0.00      0.42      0.03      0.00     99.44
                all      0.12      0.00      0.33      0.01      0.00     99.55
                all      0.11      0.00      0.34      0.02      0.00     99.53
                all      0.09      0.00      0.37      0.04      0.00     99.50
                all      0.11      0.00      0.38      0.01      0.00     99.51
                all      0.03      0.00      8.58      0.44      0.00     90.95
                all      0.07      0.00      1.14      5.00      0.00     93.80
                all      0.09      0.00      1.19      5.68      0.00     93.04
                all      0.13      0.00      1.14      6.09      0.00     92.64
                all      0.06      0.00      1.14      6.63      0.00     92.17
                all      0.09      0.00      1.22      6.79      0.00     91.89
                all      0.05      0.00      0.85      4.41      0.00     94.70
end------
                all      0.02      0.00      0.44      0.00      0.00     99.54
                all      0.16      0.00      0.89      0.00      0.00     98.95
                all      0.12      0.00      0.87      0.00      0.00     99.00
                all      0.10      0.00      0.76      0.00      0.00     99.13
                all      0.12      0.00      0.46      0.00      0.00     99.42
                all      0.15      0.00      0.55      0.00      0.00     99.30
                all      0.13      0.00      0.45      0.00      0.00     99.42
                all      0.13      0.00      0.44      0.00      0.00     99.43
start----
                all     42.57      0.00      0.77      0.01      0.00     56.65
                all     99.47      0.00      0.53      0.00      0.00      0.00
                all     99.67      0.00      0.33      0.00      0.00      0.01
                all     99.36      0.00      0.60      0.00      0.00      0.04
                all     99.19      0.00      0.75      0.00      0.00      0.06
                all     98.24      0.00      0.45      0.00      0.00      1.31
                all     97.10      0.00      0.28      0.00      0.00      2.62
                all     93.68      0.00      0.23      0.00      0.00      6.09
                all     79.41      0.00      0.23      0.00      0.00     20.36
                all     14.92      0.00      0.10      0.00      0.00     84.98
                all      0.38      0.00      0.11      0.00      0.00     99.51
                all      0.20      0.00      1.89      0.51      0.00     97.41
                all      0.06      0.00      0.87      4.58      0.00     94.49
